,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Min,Dep_Hour,Dep_Min,Duration_total
0,3,0,5,2h 50m,0.0,8,3897.0,24,3,2019,1,10,22,20,170
1,1,3,0,7h 25m,2.0,8,7662.0,1,5,2019,13,15,5,50,445
2,4,2,1,19h,2.0,8,13882.0,9,6,2019,4,25,9,25,1140
3,3,3,0,5h 25m,1.0,8,6218.0,12,5,2019,23,30,18,5,325
4,3,0,5,4h 45m,1.0,8,13302.0,1,3,2019,21,35,16,50,285
5,8,3,0,2h 25m,0.0,8,3873.0,24,6,2019,11,25,9,0,145
6,4,0,5,15h 30m,1.0,5,11087.0,12,3,2019,10,25,18,55,930
7,4,0,5,21h 5m,1.0,8,22270.0,1,3,2019,5,5,8,0,1265
8,4,0,5,25h 30m,1.0,5,11087.0,12,3,2019,10,25,8,55,1530
9,6,2,1,7h 50m,1.0,8,8625.0,27,5,2019,19,15,11,25,470
10,1,2,1,13h 15m,1.0,8,8907.0,1,6,2019,23,0,9,45,795
11,3,3,0,2h 35m,0.0,8,4174.0,18,4,2019,22,55,20,20,155
12,1,1,4,2h 15m,0.0,8,4667.0,24,6,2019,13,55,11,40,135
13,4,3,0,12h 10m,1.0,5,9663.0,9,5,2019,9,20,21,10,730
14,3,3,0,2h 35m,0.0,8,4804.0,24,4,2019,19,50,17,15,155
15,1,2,1,26h 35m,2.0,8,14011.0,3,3,2019,19,15,16,40,1595
16,8,2,1,4h 30m,1.0,8,5830.0,15,4,2019,13,15,8,45,270
17,4,2,1,22h 35m,1.0,5,10262.0,12,6,2019,12,35,14,0,1355
18,1,2,1,23h,2.0,8,13381.0,12,6,2019,19,15,20,15,1380
19,4,2,1,20h 35m,1.0,5,12898.0,27,5,2019,12,35,16,0,1235
20,2,2,1,5h 10m,1.0,8,19495.0,6,3,2019,19,20,14,10,310
21,1,0,5,15h 20m,1.0,8,6955.0,21,3,2019,13,20,22,0,920
22,3,0,2,2h 50m,0.0,8,3943.0,3,4,2019,6,50,4,0,170
23,3,0,2,2h 55m,0.0,8,4823.0,1,5,2019,21,50,18,55,175
24,4,3,0,13h 20m,1.0,5,7757.0,6,5,2019,8,15,18,55,800
25,4,2,1,15h 10m,2.0,8,13292.0,9,6,2019,12,35,21,25,910
26,3,2,1,5h 45m,1.0,8,8238.0,1,6,2019,3,35,21,50,345
27,2,2,1,5h 55m,1.0,8,7682.0,15,5,2019,12,55,7,0,355
28,10,0,2,2h 50m,0.0,8,4668.0,18,6,2019,12,35,9,45,170
29,10,1,4,2h 15m,0.0,8,3687.0,15,6,2019,9,20,7,5,135
30,10,1,4,2h 15m,0.0,8,3687.0,18,6,2019,9,20,7,5,135
31,1,3,0,13h 25m,2.0,8,13227.0,1,5,2019,23,15,9,50,805
32,3,0,2,2h 50m,0.0,8,4423.0,6,4,2019,6,50,4,0,170
33,4,2,1,22h,2.0,5,10919.0,15,6,2019,12,35,14,35,1320
34,4,2,1,5h 30m,1.0,5,12373.0,18,5,2019,12,35,7,5,330
35,3,2,1,10h 25m,1.0,8,5894.0,27,6,2019,21,0,10,35,625
36,8,3,0,5h 15m,1.0,8,4649.0,21,5,2019,20,20,15,5,315
37,1,3,0,2h 30m,0.0,8,6245.0,18,5,2019,16,45,14,15,150
38,4,0,5,6h 15m,1.0,8,19225.0,6,3,2019,13,15,7,0,375
39,4,2,1,11h 55m,1.0,8,14924.0,3,6,2019,19,0,7,5,715
40,6,2,1,11h 5m,1.0,8,9646.0,21,5,2019,18,10,7,5,665
41,1,0,5,8h 30m,1.0,8,8714.0,15,3,2019,15,15,6,45,510
42,4,2,1,22h 5m,1.0,5,12373.0,18,5,2019,19,0,20,55,1325
43,0,0,2,2h 45m,0.0,8,3383.0,6,5,2019,13,55,11,10,165
44,6,2,1,12h,1.0,8,13062.0,21,3,2019,21,0,9,0,720
45,8,0,5,2h 50m,0.0,7,3527.0,24,3,2019,8,35,5,45,170
46,3,0,2,2h 50m,0.0,8,3943.0,27,5,2019,6,50,4,0,170
47,1,1,4,2h 15m,0.0,8,4667.0,3,5,2019,13,55,11,40,135
48,1,3,0,16h 5m,1.0,8,6117.0,15,5,2019,11,5,19,0,965
49,4,2,1,19h 55m,2.0,5,11150.0,27,6,2019,19,0,23,5,1195
50,4,2,1,3h 15m,0.0,5,7202.0,9,3,2019,14,15,11,0,195
51,4,3,0,25h 20m,1.0,8,12121.0,1,5,2019,10,55,9,35,1520
52,3,0,5,2h 50m,0.0,8,4377.0,24,3,2019,1,10,22,20,170
53,3,0,2,3h,0.0,8,3943.0,18,6,2019,0,15,21,15,180
54,0,0,2,2h 50m,0.0,8,4483.0,3,4,2019,2,45,23,55,170
55,4,3,0,16h 15m,1.0,8,14231.0,24,3,2019,12,0,19,45,975
56,1,0,5,15h 5m,2.0,8,17345.0,1,3,2019,23,55,8,50,905
57,10,1,4,2h 15m,0.0,8,7414.0,6,3,2019,9,20,7,5,135
58,6,2,1,6h 30m,1.0,8,8073.0,6,5,2019,1,30,19,0,390
59,10,4,3,25h 5m,1.0,8,12395.0,6,3,2019,16,45,15,40,1505
60,1,3,0,12h 25m,1.0,8,8366.0,6,6,2019,21,50,9,25,745
61,1,2,1,27h 20m,1.0,8,5117.0,3,4,2019,9,25,6,5,1640
62,6,2,1,10h 15m,1.0,8,12524.0,3,6,2019,19,0,8,45,615
63,3,2,1,10h 30m,1.0,8,7191.0,15,5,2019,1,30,15,0,630
64,10,1,4,2h 15m,0.0,8,3687.0,24,5,2019,9,20,7,5,135
65,3,2,1,10h 25m,1.0,8,5894.0,24,6,2019,21,0,10,35,625
66,10,0,2,2h 50m,0.0,8,5403.0,24,4,2019,12,35,9,45,170
67,1,4,3,1h 30m,0.0,8,3625.0,6,5,2019,15,25,13,55,90
68,1,2,1,13h 20m,2.0,8,10861.0,21,5,2019,19,15,5,55,800
69,3,1,4,2h 15m,0.0,8,6297.0,12,3,2019,15,35,13,20,135
70,4,4,3,1h 25m,0.0,8,5678.0,1,6,2019,8,30,7,5,85
71,4,0,5,26h 30m,1.0,5,9134.0,9,3,2019,8,15,5,45,1590
72,6,2,1,7h 20m,1.0,5,10791.0,24,6,2019,19,0,11,40,440
73,4,2,1,13h 30m,2.0,8,12819.0,24,6,2019,12,35,23,5,810
74,3,2,1,5h,1.0,8,6893.0,21,3,2019,10,5,5,5,300
75,10,0,5,2h 45m,0.0,8,7240.0,9,3,2019,12,35,9,50,165
76,2,0,2,2h 50m,0.0,8,3898.0,3,4,2019,14,30,11,40,170
77,3,4,3,1h 30m,0.0,8,4049.0,3,4,2019,7,55,6,25,90
78,4,2,1,19h 5m,1.0,5,10262.0,15,6,2019,12,35,17,30,1145
79,8,1,4,2h 15m,0.0,7,3332.0,21,3,2019,10,35,8,20,135
80,4,3,0,14h 50m,1.0,5,10844.0,9,6,2019,12,0,21,10,890
81,4,0,5,2h 40m,0.0,8,7229.0,24,3,2019,22,35,19,55,160
82,4,3,0,22h 10m,1.0,8,13941.0,6,5,2019,4,40,6,30,1330
83,3,2,1,9h 35m,1.0,8,5894.0,27,6,2019,21,0,11,25,575
84,6,2,1,10h,1.0,8,10197.0,18,5,2019,19,0,9,0,600
85,4,0,5,21h 20m,1.0,5,13712.0,6,3,2019,11,25,14,5,1280
86,3,2,1,5h 25m,1.0,8,5636.0,24,6,2019,7,25,2,0,325
87,4,2,1,18h 45m,2.0,8,13014.0,6,6,2019,4,25,9,40,1125
88,4,3,0,12h 20m,1.0,5,7064.0,1,4,2019,20,45,8,25,740
89,4,3,0,18h,1.0,5,10703.0,24,5,2019,14,25,20,25,1080
90,6,2,1,9h 15m,1.0,8,9646.0,27,5,2019,22,30,13,15,555
91,6,2,1,11h 5m,1.0,8,17057.0,6,3,2019,13,20,2,15,665
92,4,0,5,17h 30m,1.0,8,13817.0,12,3,2019,10,25,16,55,1050
93,1,2,1,13h 20m,2.0,8,13748.0,6,3,2019,19,15,5,55,800
94,1,3,0,2h 35m,0.0,8,4880.0,21,4,2019,23,20,20,45,155
95,3,1,4,2h 25m,0.0,8,3540.0,21,6,2019,7,40,5,15,145
96,8,0,2,2h 40m,0.0,7,3257.0,15,5,2019,8,35,5,55,160
97,4,0,2,3h,0.0,5,6478.0,3,6,2019,22,50,19,50,180
98,4,4,3,1h 25m,0.0,8,8040.0,18,6,2019,8,30,7,5,85
